범죄발생시간,지능범죄수
00:00-02:59,"7,976"
03:00-05:59,"5,339"
06:00-08:59,"3,392"
09:00-11:59,"55,880"
12:00-14:59,"29,908"
15:00-17:59,"21,391"
18:00-20:59,"14,495"
21:00-23:59,"13,122"
