date,value
2015-01,61.2
2015-02,59.5
2015-03,59.5
2015-04,57.8
2015-05,63.4
2015-06,69.6
2015-07,79.1
2015-08,76.5
2015-09,70.1
2015-10,65.1
2015-11,63.3
2015-12,62.2
