date	판교	대왕판교	서울
1/1/2015	78524 	3124 	84189 
2/19/2015	87761 	4098 	112927 
3/1/2015	80531 	3274 	98382 
5/5/2015	86340 	3451 	106004 
5/25/2015	81455 	3240 	118246 
6/6/2015	90370 	3576 	103194 
8/15/2015	92315 	3685 	115161 
9/27/2015	100411 	6379 	116800 
10/3/2015	104191 	4356 	113177 
10/9/2015	112910 	5515 	111733 
12/25/2015	88068 	3550 	93508 
